TIME,TEMP
09:21:06,18
09:21:08,18.25
09:21:10,18.5
09:21:12,18.25
09:21:14,18.5
09:21:16,18.75
09:21:18,18.5
09:21:20,18.5
09:21:22,18.5
09:21:24,18
09:21:26,19
09:21:28,18.5
09:21:30,19
09:21:32,18.5
09:21:34,18.5
09:21:36,18.5
09:21:38,18.75
09:21:40,17.75
09:21:42,17.75
09:21:44,17.75
09:21:46,17.75
09:21:48,18.5
09:21:50,18.5
09:21:52,18
09:21:54,18.75
09:21:56,19
09:21:58,19
09:22:00,19
09:22:02,19.25
09:22:04,18.75
09:22:06,19.25
09:22:08,19.5
09:22:10,18.75
09:22:12,19.5
09:22:14,19.5
09:22:16,19.75
09:22:18,19.5
09:22:20,20
09:22:22,20
09:22:24,19.75
09:22:26,20.25
09:22:28,20
09:22:30,20.5
09:22:32,20
09:22:34,21
09:22:36,20.75
09:22:38,20.75
09:22:40,21
09:22:42,21.25
09:22:44,21.25
09:22:46,21.5
09:22:48,21.5
09:22:50,21.25
09:22:52,21.25
09:22:54,21.25
09:22:56,21.25
09:22:58,21.25
09:23:00,22.25
09:23:02,22.25
09:23:04,22.75
09:23:06,22.75
09:23:08,23
09:23:10,23
09:23:12,23.25
09:23:14,23.5
09:23:16,23.5
09:23:18,23.25
09:23:20,22.75
09:23:22,24
09:23:24,23.5
09:23:26,24
09:23:28,24.25
09:23:30,24.25
09:23:32,24.5
09:23:34,24.75
09:23:36,25
09:23:38,25
09:23:40,25.25
09:23:42,25.25
09:23:44,25.75
09:23:46,25.75
09:23:48,25.75
09:23:50,25.75
09:23:52,26.25
09:23:54,25.75
09:23:56,25.75
09:23:58,26.75
09:24:00,26.25
09:24:02,26.5
09:24:04,26.75
09:24:06,27
09:24:08,26.75
09:24:10,27
09:24:12,27.5
09:24:14,27.5
09:24:16,27.5
09:24:18,28
09:24:20,26.5
09:24:22,28
09:24:24,28
09:24:26,28.25
09:24:28,28.5
09:24:30,28.5
09:24:32,28.75
09:24:34,29
09:24:36,28.75
09:24:38,29.25
09:24:40,28.5
09:24:42,29.5
09:24:44,29.75
09:24:46,29.75
09:24:48,29.25
09:24:50,29.75
09:24:52,29.75
09:24:54,30.25
09:24:56,30.25
09:24:58,30
09:25:00,30.75
09:25:02,31
09:25:04,30.75
09:25:06,30.5
09:25:08,31.25
09:25:10,31.25
09:25:12,31.25
09:25:14,31.5
09:25:16,31.5
09:25:18,31.75
09:25:20,32
09:25:22,31.75
09:25:24,32
09:25:26,32.25
09:25:28,32
09:25:30,32.25
09:25:32,32.5
09:25:34,32.5
09:25:36,33
09:25:38,33
09:25:40,33
09:25:42,33
09:25:44,33.25
09:25:46,33.25
09:25:48,33.25
09:25:50,33.75
09:25:52,33.75
09:25:54,33.75
09:25:56,34.25
09:25:58,33.5
09:26:00,34.5
09:26:02,34.25
09:26:04,34.25
09:26:06,34.75
09:26:08,34.75
09:26:10,34.75
09:26:12,34.75
09:26:14,35
09:26:16,35.5
09:26:18,35.25
09:26:20,35.5
09:26:22,35.5
09:26:24,35.5
09:26:26,35.5
09:26:28,35.75
09:26:30,36
09:26:32,36
09:26:34,36.25
09:26:36,36.25
09:26:38,36.5
09:26:40,36.5
09:26:42,36.5
09:26:44,36.75
09:26:46,36.75
09:26:48,36.75
09:26:50,37
09:26:52,37
09:26:54,37
09:26:56,37.25
09:26:58,37.25
09:27:00,37.75
09:27:02,37.5
09:27:04,37.5
09:27:06,37
09:27:08,37.75
09:27:10,37.25
09:27:12,37.75
09:27:14,38
09:27:16,37.75
09:27:18,38
09:27:20,38.5
09:27:22,37.75
09:27:24,38.5
09:27:26,38
09:27:28,38.25
09:27:30,38.5
09:27:32,38.5
09:27:34,39
09:27:36,38.75
09:27:38,38.75
09:27:40,39
09:27:42,39.25
09:27:44,39
